Station Name,Date,CO
Manama,19/01/2023,0.3
Manama,19/01/2023,0.3
Manama,19/01/2023,0.31
Manama,19/01/2023,0.37
Manama,19/01/2023,0.39
Manama,19/01/2023,0.77
Manama,19/01/2023,0.77
Manama,19/01/2023,0.71
Manama,19/01/2023,0.53
Manama,19/01/2023,0.52
Manama,19/01/2023,0.45
Manama,19/01/2023,0.4
Manama,20/01/2023,0.4
Manama,20/01/2023,0.41
Manama,20/01/2023,0.56
Manama,20/01/2023,0.62
Manama,20/01/2023,0.53
Manama,20/01/2023,0.35
Manama,20/01/2023,0.29
Manama,20/01/2023,0.3
Manama,20/01/2023,0.32
Manama,20/01/2023,0.29
Manama,20/01/2023,0.31
Manama,20/01/2023,0.32
Manama,20/01/2023,0.35
Manama,20/01/2023,0.36
Manama,20/01/2023,0.38
Manama,20/01/2023,0.32
Manama,20/01/2023,0.32
Manama,20/01/2023,0.32
Manama,20/01/2023,0.33
Manama,20/01/2023,0.35
Manama,20/01/2023,0.36
Manama,20/01/2023,0.36
Manama,20/01/2023,0.35
Manama,20/01/2023,0.34
Manama,21/01/2023,0.39
Manama,21/01/2023,0.38
Manama,21/01/2023,0.39
Manama,21/01/2023,0.63
Manama,21/01/2023,0.49
Manama,21/01/2023,0.35
Manama,21/01/2023,0.34
Manama,21/01/2023,0.33
Manama,21/01/2023,0.32
Manama,21/01/2023,0.31
Manama,21/01/2023,0.33
Manama,21/01/2023,0.36
Manama,21/01/2023,0.37
Manama,21/01/2023,0.39
Manama,21/01/2023,0.42
Manama,21/01/2023,0.36
Manama,21/01/2023,0.38
Manama,21/01/2023,0.38
Manama,21/01/2023,0.36
Manama,21/01/2023,0.35
Manama,21/01/2023,0.35
Manama,21/01/2023,0.35
Manama,21/01/2023,0.43
Manama,21/01/2023,0.41
Manama,22/01/2023,0.39
Manama,22/01/2023,0.45
Manama,22/01/2023,0.44
Manama,22/01/2023,0.55
Manama,22/01/2023,0.47
Manama,22/01/2023,0.38
Manama,22/01/2023,0.37
Manama,22/01/2023,0.36
Manama,22/01/2023,0.35
Manama,22/01/2023,0.34
Manama,22/01/2023,0.37
Manama,22/01/2023,0.4
Manama,22/01/2023,0.41
Manama,22/01/2023,0.42
Manama,22/01/2023,0.42
Manama,22/01/2023,0.41
Manama,22/01/2023,0.4
Manama,22/01/2023,0.38
Manama,22/01/2023,0.38
Manama,22/01/2023,0.37
Manama,22/01/2023,0.36
Manama,22/01/2023,0.37
Manama,22/01/2023,0.39
Manama,22/01/2023,0.39
Manama,23/01/2023,0.39
Manama,23/01/2023,0.39
Manama,23/01/2023,0.41
Manama,23/01/2023,0.43
Manama,23/01/2023,0.42
Manama,23/01/2023,0.4
Manama,23/01/2023,0.39
Manama,23/01/2023,0.37
Manama,23/01/2023,0.36
Manama,23/01/2023,0.36
Manama,23/01/2023,0.38
Manama,23/01/2023,0.39
Manama,23/01/2023,0.41
Manama,23/01/2023,0.44
Manama,23/01/2023,0.41
Manama,23/01/2023,0.41
Manama,23/01/2023,0.41
Manama,23/01/2023,0.4
Manama,23/01/2023,0.38
Manama,23/01/2023,0.38
Manama,23/01/2023,0.37
Manama,23/01/2023,0.38
Manama,23/01/2023,0.4
Manama,23/01/2023,0.42
Manama,24/01/2023,0.41
Manama,24/01/2023,0.52
Manama,24/01/2023,0.51
Manama,24/01/2023,0.77
Manama,24/01/2023,0.54
Manama,24/01/2023,0.42
Manama,24/01/2023,0.42
Manama,24/01/2023,0.41
Manama,24/01/2023,0.4
Manama,24/01/2023,0.39
Manama,24/01/2023,0.42
Manama,24/01/2023,0.44
Manama,24/01/2023,0.44
Manama,24/01/2023,0.46
Manama,24/01/2023,0.45
Manama,24/01/2023,0.41
Manama,24/01/2023,0.41
Manama,24/01/2023,0.41
Manama,24/01/2023,0.41
Manama,24/01/2023,0.41
Manama,24/01/2023,0.39
Manama,24/01/2023,0.39
Manama,24/01/2023,0.41
Manama,24/01/2023,0.43
Manama,25/01/2023,0.44
Manama,25/01/2023,0.43
Manama,25/01/2023,0.45
Manama,25/01/2023,0.48
Manama,25/01/2023,0.45
Manama,25/01/2023,0.43
Manama,25/01/2023,0.41
Manama,25/01/2023,0.43
Manama,25/01/2023,0.41
Manama,25/01/2023,0.4
Manama,25/01/2023,0.4
Manama,25/01/2023,0.43
Manama,25/01/2023,0.43
Manama,25/01/2023,0.45
Manama,25/01/2023,0.47
Manama,25/01/2023,0.47
Manama,25/01/2023,0.46
Manama,25/01/2023,0.43
Manama,25/01/2023,0.42
Manama,25/01/2023,0.42
Manama,25/01/2023,0.41
Manama,25/01/2023,0.41
Manama,25/01/2023,0.45
Manama,25/01/2023,0.46
Manama,26/01/2023,0.47
Manama,26/01/2023,0.48
Manama,26/01/2023,0.51
Manama,26/01/2023,0.5
Manama,26/01/2023,0.5
Manama,26/01/2023,0.51
Manama,26/01/2023,0.52
Manama,26/01/2023,0.49
Manama,26/01/2023,0.49
Manama,26/01/2023,0.45
Manama,26/01/2023,0.48
Manama,26/01/2023,0.51
Manama,26/01/2023,0.5
Manama,26/01/2023,0.51
Manama,26/01/2023,0.5
Manama,26/01/2023,0.47
Manama,26/01/2023,0.48
Manama,26/01/2023,0.48
Manama,26/01/2023,0.48
Manama,26/01/2023,0.47
Manama,26/01/2023,0.47
Manama,26/01/2023,0.49
Manama,26/01/2023,0.49
Manama,26/01/2023,
Manama,27/01/2023,0.5
Manama,27/01/2023,0.47
Manama,27/01/2023,0.49
Manama,27/01/2023,0.47
Manama,27/01/2023,0.49
Manama,27/01/2023,0.55
Manama,27/01/2023,0.5
Manama,27/01/2023,0.49
Manama,27/01/2023,0.48
Manama,27/01/2023,0.47
Manama,27/01/2023,0.49
Manama,27/01/2023,0.5
Manama,27/01/2023,0.52
Manama,27/01/2023,0.55
Manama,27/01/2023,0.57
Manama,27/01/2023,0.54
Manama,27/01/2023,0.59
Manama,27/01/2023,0.5
Manama,27/01/2023,0.59
Manama,27/01/2023,0.52
Manama,27/01/2023,0.48
Manama,27/01/2023,0.5
Manama,27/01/2023,0.52
Manama,27/01/2023,0.5
Manama,28/01/2023,0.52
Manama,28/01/2023,0.49
Manama,28/01/2023,0.51
Manama,28/01/2023,0.76
Manama,28/01/2023,0.72
Manama,28/01/2023,0.5
Manama,28/01/2023,0.46
Manama,28/01/2023,0.44
Manama,28/01/2023,0.44
Manama,28/01/2023,0.42
Manama,28/01/2023,0.45
Manama,28/01/2023,0.46
Manama,28/01/2023,0.46
Manama,28/01/2023,0.48
Manama,28/01/2023,0.5
Manama,28/01/2023,0.5
Manama,28/01/2023,0.51
Manama,28/01/2023,0.57
Manama,28/01/2023,0.82
Manama,28/01/2023,0.7
Manama,28/01/2023,0.67
Manama,28/01/2023,0.52
Manama,28/01/2023,0.54
Manama,28/01/2023,0.54
Manama,29/01/2023,0.51
Manama,29/01/2023,0.5
Manama,29/01/2023,0.53
Manama,29/01/2023,0.64
Manama,29/01/2023,0.66
Manama,29/01/2023,0.53
Manama,29/01/2023,0.45
Manama,29/01/2023,0.42
Manama,29/01/2023,0.41
Manama,29/01/2023,0.39
Manama,29/01/2023,0.42
Manama,29/01/2023,0.44
Manama,29/01/2023,0.43
Manama,29/01/2023,0.44
Manama,29/01/2023,0.48
Manama,29/01/2023,0.53
Manama,29/01/2023,0.54
Manama,29/01/2023,0.67
Manama,29/01/2023,0.91
Manama,29/01/2023,0.75
Manama,29/01/2023,0.59
Manama,29/01/2023,0.53
Manama,29/01/2023,0.54
Manama,29/01/2023,0.57
Manama,30/01/2023,0.55
Manama,30/01/2023,0.59
Manama,30/01/2023,0.68
Manama,30/01/2023,0.86
Manama,30/01/2023,0.71
Manama,30/01/2023,0.54
Manama,30/01/2023,0.5
Manama,30/01/2023,0.49
Manama,30/01/2023,0.5
Manama,30/01/2023,0.49
Manama,30/01/2023,0.51
Manama,30/01/2023,0.53
Manama,30/01/2023,0.52
Manama,30/01/2023,0.53
Manama,30/01/2023,0.57
Manama,30/01/2023,0.54
Manama,30/01/2023,0.65
Manama,30/01/2023,0.74
Manama,30/01/2023,1.13
Manama,30/01/2023,0.79
Manama,30/01/2023,0.73
Manama,30/01/2023,0.7
Manama,30/01/2023,0.62
Manama,30/01/2023,0.63
Manama,31/01/2023,0.56
Manama,31/01/2023,0.62
Manama,31/01/2023,0.81
Manama,31/01/2023,0.95
Manama,31/01/2023,0.75
Manama,31/01/2023,0.65
Manama,31/01/2023,0.56
Manama,31/01/2023,0.52
Manama,31/01/2023,0.5
Manama,31/01/2023,0.49
Manama,31/01/2023,0.5
Manama,31/01/2023,0.52
Manama,31/01/2023,0.58
Manama,31/01/2023,0.63
