Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
Masfout,04/03/2023,16:00:00,12.576,,,5.076,,,100.464,,111.3315,,,,0.160328,,0.180369,,,29.71,,,14.38,,,,26.7,,56.0,65,1.4,,,,,,,2.1003,0.094,2.1945,,,
Masfout,04/03/2023,17:00:00,13.624,,,6.956,,,117.852,,114.471,,,,0.160328,,0.1789375,,,26.62,,,12.44,,,,27.0,,41.0,51,1.4,,,,,,,2.0928,0.1172,2.21,,,
Masfout,04/03/2023,18:00:00,13.886,,,21.808,,,185.472,,124.8555,,,,0.274848,,0.1903895,,,52.55,,,24.65,,,,25.6,,52.0,86,1.5,,,,,,,2.1522,0.1576,2.3099,,,
Masfout,04/03/2023,19:00:00,13.624,,,23.688,,,170.01599999999996,,132.10049999999998,,,,0.274848,,0.20041,,,60.11,,,28.76,,,,24.0,,61.0,89,1.5,,,,,,,2.2017,0.1654,2.3671,,,
Masfout,04/03/2023,20:00:00,12.576,,,22.372,,,158.424,,137.172,,,,0.2863,,0.2104305,,,64.61,,,30.99,,,,23.2,,65.0,70,1.6,,,,,,,2.1523,0.1696,2.3219,,,
Masfout,04/03/2023,21:00:00,12.314,,,22.372,,,142.968,,138.62099999999998,,,,0.263396,,0.217588,,,67.1,,,32.66,,,,22.4,,69.0,100,1.6,,,,,,,2.143,0.2029,2.3458,,,
Masfout,04/03/2023,22:00:00,13.1,,,20.116,,,125.58,,138.86249999999998,,,,0.2863,,0.231903,,,71.07,,,34.34,,,,21.5,,71.0,44,1.9,,,,,,,2.1527,0.211,2.3635,,,
Masfout,04/03/2023,23:00:00,13.1,,,18.236,,,110.124,,138.86249999999998,,,,0.251944,,0.2447865,,,66.2,,,33.01,,,,20.6,,71.0,45,2.0,,,,,,,2.1523,0.1848,2.3372,,,
Masfout,05/03/2023,00:00:00,12.314,,,14.663999999999998,,,102.396,,139.104,,,,0.263396,,0.25767,,,69.64,,,35.34,,,,20.0,,73.0,42,2.0,,,,,,,2.1615,0.1894,2.351,,,
Masfout,05/03/2023,01:00:00,12.838,,,14.476,,,88.87199999999999,,135.48149999999998,,,,0.251944,,0.269122,,,80.63,,,40.45,,,,19.3,,76.0,65,2.3,,,,,,,2.1572,0.1983,2.3555,,,
Masfout,05/03/2023,02:00:00,13.1,,,12.972,,,85.00799999999998,,122.9235,,,,0.2404919999999999,,0.2648275,,,99.74,,,51.79,,,,18.9,,80.0,69,2.2,,,,,,,2.1506,0.1881,2.3388,,,
Masfout,05/03/2023,03:00:00,12.314,,,9.964,,,90.804,,113.02199999999998,,,,0.2404919999999999,,0.2605329999999999,,,128.45,,,67.44,,,,18.7,,83.0,56,2.3,,,,,,,2.1399,0.1748,2.3146,,,
Masfout,05/03/2023,04:00:00,12.314,,,9.4,,,96.6,,105.29399999999998,,,,0.2404919999999999,,0.2548069999999999,,,138.3,,,72.72,,,,18.6,,84.0,66,2.4,,,,,,,2.1352,0.1754,2.3108,,,
Masfout,05/03/2023,05:00:00,12.576,,,10.152,,,113.988,,101.6715,,,,0.22904,,0.2505124999999999,,,127.81,,,67.15,,,,18.9,,85.0,48,2.6,,,,,,,2.1336,0.1658,2.2992,,,
Masfout,05/03/2023,06:00:00,12.576,,,17.483999999999995,,,104.328,,99.015,,,,0.22904,,0.243355,,,145.64,,,76.14,,,,18.8,,85.0,59,2.4,,,,,,,2.1417,0.1607,2.3026,,,
Masfout,05/03/2023,07:00:00,12.314,,,25.004,,,96.6,,97.3245,,,,0.263396,,0.2447865,,,141.24,,,72.98,,,,19.2,,85.0,56,2.7,,,,,,,2.1397,0.172,2.3117,,,
Masfout,05/03/2023,08:00:00,12.314,,,14.476,,,108.192,,98.049,,,,0.2404919999999999,,0.2419234999999999,,,87.55,,,44.84,,,,20.3,,82.0,40,3.0,,,,,,,2.1376,0.1672,2.3048,,,
Masfout,05/03/2023,09:00:00,12.838,,,9.4,,,121.716,,102.1545,,,,0.2061359999999999,,0.2361975,,,47.05,,,23.69,,,,22.8,,69.0,57,2.8,,,,,,,2.1276,0.1709,2.2985,,,
Masfout,05/03/2023,10:00:00,13.624,,,8.084,,,129.44400000000002,,107.709,,,,0.183232,,0.22904,,,39.3,,,19.65,,,,24.3,,62.0,47,2.5,,,,,,,2.1166,0.1706,2.287,,,
