Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,03/05/2023,21:00:00,4.87,,,10.86,13.0,2.14,,,106.78,,,,,,0.72,,,,,100.0,,,31.578,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,22:00:00,5.53,,,8.59,10.61,2.02,,,97.73,,,,,,0.86,,,,,90.0,,,28.7526,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,23:00:00,4.03,,,16.67,18.85,2.18,,,60.48,,,,,,0.91,,,,,83.0,,,22.639215,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,00:00:00,4.31,,,26.51,28.41,1.9,,,43.77,,,,,,0.71,,,,,76.0,,,25.761,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,01:00:00,4.73,,,20.95,22.83,1.88,,,45.96,,,,,,0.93,,,,,79.0,,,23.245985,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,02:00:00,7.88,,,13.63,15.81,2.18,,,53.33,,,,,,0.79,,,,,82.0,,,22.2826905,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,03:00:00,4.91,,,18.17,20.14,1.97,,,49.01,,,,,,0.77,,,,,71.0,,,18.410745,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,04:00:00,5.69,,,12.88,14.83,1.95,,,61.45,,,,,,0.81,,,,,66.0,,,19.079590000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,05:00:00,8.64,,,8.33,10.4,2.07,,,72.63,,,,,,0.8,,,,,68.0,,,20.6088,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,06:00:00,6.64,,,8.84,10.69,1.85,,,79.99,,,,,,0.7,,,,,56.0,,,15.016040000000002,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,07:00:00,6.43,,,23.88,26.58,2.7,,,55.66,,,,,,0.92,,,,,48.0,,,18.4482,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,08:00:00,7.68,,,47.16,52.77,5.61,,,25.65,,,,,,0.72,,,,,63.0,,,23.4342,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,09:00:00,7.43,,,52.77,60.830000000000005,8.06,,,18.72,,,,,,0.9,,,,,78.0,,,23.778295000000004,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,10:00:00,5.52,,,24.73,29.9,5.17,,,49.75,,,,,,0.71,,,,,89.0,,,28.9188,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,11:00:00,5.8,,,11.99,17.52,5.53,,,91.74,,,,,,0.56,,,,,85.0,,,25.556145,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,12:00:00,6.27,,,7.58,11.3,3.72,,,113.62,,,,,,0.5,,,,,92.0,,,28.545146000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,13:00:00,6.01,,,7.83,11.92,4.09,,,113.36,,,,,,0.4,,,,,104.0,,,27.14577,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,14:00:00,5.52,,,10.81,13.6,2.79,,,104.02,,,,,,0.27,,,,,98.0,,,31.0794,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,15:00:00,5.39,,,11.11,13.4,2.29,,,95.94,,,,,,0.22,,,,,89.0,,,25.484,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,16:00:00,6.12,,,14.01,16.41,2.4,,,87.36,,,,,,0.28,,,,,95.0,,,32.0766,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,17:00:00,6.28,,,10.1,12.31,2.21,,,87.1,,,,,,0.72,,,,,98.0,,,26.999995,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,18:00:00,6.76,,,10.65,13.08,2.43,,,90.11,,,,,,0.73,,,,,89.0,,,28.9188,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,19:00:00,6.84,,,8.26,10.27,2.01,,,98.19,,,,,,0.88,,,,,85.0,,,21.77037,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,20:00:00,6.1,,,7.22,9.07,1.85,,,91.74,,,,,,0.88,,,,,77.0,,,24.2652,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,21:00:00,6.24,,,7.31,9.21,1.9,,,77.25,,,,,,0.75,,,,,69.0,,,17.3125,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,04/05/2023,22:00:00,6.43,,,8.33,10.32,1.99,,,69.0,,,,,,0.7,,,,,56.0,,,20.1102,,,,,,,,,,,,,,,,,,,,
