Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,DATA COUNT
Baniyas School,03/01/2023,01:00:00,6.89,,5.45,96.96,,57.35,4.83,,50.39,,,,,,,,,31.3,,45.48,22.6,,19.98,19.61,20.68,1019.3,59.4,358.11,1.42,4.09,,,,,,,,,52.68,,,
Baniyas School,03/01/2023,02:00:00,7.91,,5.45,82.79,,57.35,6.49,,35.86,,,,,,,,,33.2,,45.48,23.0,,19.98,18.98,19.99,1019.0,58.81,16.75,1.31,4.05,,,,,,,,,51.06,,,
Baniyas School,03/01/2023,03:00:00,7.16,,5.45,60.1,,57.35,34.61,,26.34,,,,,,,,,41.3,,45.48,22.7,,19.98,18.69,19.39,1018.7,56.59,25.37,1.26,3.9,,,,,,,,,50.49,,,
Baniyas School,03/01/2023,04:00:00,6.24,,5.45,54.4,,57.35,37.57,,22.14,,,,,,,,,32.9,,45.48,23.2,,19.98,18.49,19.28,1018.7,54.97,11.27,1.36,3.5,,,,,,,,,50.51,,,
Baniyas School,03/01/2023,05:00:00,5.53,,5.45,70.28,,57.35,14.86,,18.77,,,,,,,,,40.2,,45.48,22.9,,19.98,17.86,18.75,1019.1,57.08,347.15,1.32,3.86,,,,,,,,,50.59,,,
Baniyas School,03/01/2023,06:00:00,5.77,,5.45,84.83,,57.35,5.09,,15.33,,,,,,,,,45.0,,45.48,20.6,,19.98,17.84,18.54,1019.5,56.82,2.69,1.58,3.69,,,,,,,,,54.33,,,
Baniyas School,03/01/2023,07:00:00,5.16,,5.45,88.28,,57.35,3.89,,14.05,,,,,,,,,43.1,,45.48,23.3,,19.98,18.37,19.1,1020.2,52.43,359.22,2.1,3.31,,,,,,,,,54.2,,,
Baniyas School,03/01/2023,08:00:00,5.91,,5.45,88.16,,57.35,3.62,,13.87,,,,,,,,,39.7,,45.48,24.6,,19.98,19.19,19.62,1021.1,48.13,2.51,1.72,3.55,,,,,,,,,56.72,,,
Baniyas School,03/01/2023,09:00:00,4.67,,5.45,87.75,,57.35,14.81,,15.12,,,,,,,,,57.4,,45.48,28.1,,19.98,20.89,20.91,1021.5,47.99,19.4,1.99,6.1,,,,,,,,,55.86,,,
Baniyas School,03/01/2023,10:00:00,4.12,,5.45,66.52,,57.35,46.88,,20.17,,,,,,,,,64.6,,45.48,27.4,,19.98,23.16,22.71,1021.8,46.06,13.74,2.74,5.63,,,,,,,,,55.3,,,
Baniyas School,03/01/2023,11:00:00,4.06,,5.45,26.53,,57.35,90.35,,27.13,,,,,,,,,66.0,,45.48,24.5,,19.98,24.6,24.1,1021.6,40.87,30.18,4.34,4.41,,,,,,,,,62.04,,,
Baniyas School,03/01/2023,12:00:00,6.0,,5.45,17.35,,57.35,99.15,,34.83,,,,,,,,,47.4,,45.48,20.0,,19.98,24.69,24.32,1020.7,37.68,15.78,5.4,4.0,,,,,,,,,64.66,,,
Baniyas School,03/01/2023,13:00:00,4.62,,5.45,17.74,,57.35,100.51,,45.54,,,,,,,,,48.4,,45.48,15.6,,19.98,25.17,24.67,1019.8,34.62,14.6,4.96,3.44,,,,,,,,,65.25,,,
Baniyas School,03/01/2023,14:00:00,3.47,,5.45,29.05,,57.35,94.86,,56.76,,,,,,,,,59.9,,45.48,15.3,,19.98,25.78,25.22,1019.5,34.25,3.6,4.92,3.36,,,,,,,,,62.94,,,
Baniyas School,03/01/2023,15:00:00,3.71,,5.45,33.18,,57.35,99.9,,68.76,,,,,,,,,56.7,,45.48,18.0,,19.98,25.46,24.79,1019.2,43.55,340.91,4.83,3.68,,,,,,,,,64.22,,,
Baniyas School,03/01/2023,16:00:00,3.13,,5.45,26.29,,57.35,93.54,,80.0,,,,,,,,,61.8,,45.48,21.1,,19.98,24.83,24.16,1018.8,50.22,335.02,4.69,3.51,,,,,,,,,64.76,,,
