vlookup,SO2,NO2,Daily_Avg_8h_WHO,Daily_Avg_8h_NS,Daily_Avg_8h_C0,PM10,PM2.5
AL Ma17092023,4.1,13.2,,,,62.6,20.7
AL Ma18092023,4.7,17.5,,,,78.3,25.7
AL Ma19092023,4.0,15.1,,,,81.1,26.4
AL Ma20092023,4.8,27.1,,,,79.3,25.7
AL Ma21092023,4.1,37.2,,,,63.0,20.6
AL Ma22092023,4.2,25.7,,,,59.2,19.5
AL Ma23092023,4.7,29.7,,,,69.4,22.9
AL Ma24092023,4.8,32.4,,,,94.9,31.1
AL Ma25092023,6.1,28.4,,,,127.7,42.2
AL Ma26092023,4.6,40.7,,,,140.0,45.5
AL Ma27092023,4.4,44.7,,,,134.9,44.2
AL Ma28092023,4.4,39.4,,,,170.9,55.7
AL Ma29092023,4.5,37.4,,,,83.5,27.1
AL Ma30092023,4.2,29.1,,,,55.3,18.1
AL Ma01102023,4.0,23.3,,,,49.0,19.4
AL Ma02102023,4.2,15.1,,,,54.1,19.0
AL Ma03102023,3.9,22.1,,,,55.4,21.1
AL Ma04102023,4.4,36.4,,,,58.4,22.3
AL Ma05102023,5.2,39.0,,,,70.8,29.4
AL Ma06102023,5.1,38.3,,,,70.2,30.1
AL Ma07102023,4.2,32.2,,,,62.0,23.9
AL Ma08102023,4.3,36.2,,,,86.3,40.1
AL Ma09102023,4.5,34.9,,,,79.1,38.6
AL Ma10102023,4.3,26.2,,,,57.2,19.4
AL Ma11102023,4.5,37.8,,,,48.0,14.0
AL Ma12102023,5.1,44.1,,,,36.8,12.7
AL Ma13102023,5.5,30.9,,,,45.4,21.6
AL Ma14102023,4.5,38.6,,,,45.5,20.1
AL Ma15102023,4.2,37.2,,,,50.1,19.3
AL Ma16102023,4.6,40.5,,,,60.6,22.7
AL Ma17102023,4.7,37.3,,,,80.3,28.6
AL Ma18102023,4.5,48.7,,,,140.3,50.1
AL Ma19102023,4.2,37.2,,,,103.8,33.9
AL Ma20102023,3.8,37.4,,,,98.3,45.1
AL Ma21102023,4.4,38.2,,,,73.8,30.7
AL Ma22102023,4.7,27.2,,,,59.7,22.7
AL Ma23102023,4.6,34.9,,,,68.2,20.3
AL Ma24102023,4.9,35.0,,,,81.9,20.6
AL Ma25102023,5.4,36.0,,,,128.0,33.4
AL Ma26102023,4.7,35.1,,,,58.2,10.7
AL Ma27102023,3.6,33.3,,,,32.9,8.6
AL Ma28102023,4.8,33.5,,,,36.8,13.2
AL Ma29102023,5.0,46.6,,,,61.6,20.0
AL Ma30102023,4.3,37.5,,,,60.5,20.7
AL Ma31102023,5.4,38.5,,,,67.0,15.7
AL Ma01112023,3.8,34.5,,,,57.1,17.9
AL Ma02112023,5.3,43.3,,,,58.4,16.9
AL Ma03112023,5.4,46.0,,,,61.5,21.8
AL Ma04112023,6.5,48.5,,,,59.8,18.2
AL Ma05112023,3.4,47.7,,,,59.8,12.8
AL Ma06112023,3.7,36.8,,,,136.6,50.4
AL Ma07112023,4.7,32.2,,,,106.3,39.9
AL Ma08112023,3.7,40.7,,,,59.7,13.3
